연번,과정명,기수,구분,주제,기획설명,활용데이터,활용기술,깃허브 주소
590,SK네트웍스 Family AI 캠프,25,교과목실습4,"PubMed 기반 건강 트렌드 챗봇 (BioRAG, 3차 확장)",PubMed 논문 기반 건강 질의응답 챗봇을 FastAPI(RAG)+Django(인증) 구조로 재구축하고 Airflow로 논문 수집·품질 검증을 자동화.,"PubMed 의학 논문 초록(333개, Airflow 자동 크롤링)","Django, DRF, FastAPI, Airflow, Neon PostgreSQL, React+TypeScript, RAG, Docker",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN25-4th-4Team
591,SK네트웍스 Family AI 캠프,25,교과목실습4,AI 기반 국내 여행 추천 시스템,RAG와 pgvector 벡터 유사도 검색으로 맞춤형 여행지 추천·일정 생성을 제공하는 서비스. 반려동물 동반·무장애 정보 결합.,"국내 여행지 정보, 반려동물 동반·무장애 시설 데이터(공공)","Django, PostgreSQL+pgvector, OpenAI text-embedding-3-small, React+Vite, RAG",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN25-4th-5Team
592,SK네트웍스 Family AI 캠프,25,교과목실습4,소비패턴 기반 개인 맞춤형 신용카드 추천 RAG 챗봇,GPT Vision OCR로 카드 약관을 구조화 JSON으로 변환하고 하이브리드(벡터+키워드) 검색으로 소비패턴 맞춤 카드를 추천하는 서비스.,카드사 카드 약관 데이터(GPT Vision OCR로 추출·구조화),"Django REST Framework, React 19+Vite+Tailwind, OpenAI text-embedding-3-small, GPT Vision OCR, 하이브리드 검색, Docker",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN25-4th-6Team
593,SK네트웍스 Family AI 캠프,25,최종프로젝트,동물병원 진료 워크플로우 자동화 플랫폼 (MediPaw),보호자 AI 문진·병원 예약과 병원의 예약·환자·EMR·처방·운영을 연결하는 LLM 멀티에이전트 기반 소형 동물병원 진료 자동화 플랫폼.,해당 없음(보호자 문진·EMR 등 내부·생성 데이터 기반),"React 18+TypeScript+Vite+Tailwind, FastAPI, PostgreSQL, LangGraph 멀티에이전트, OpenAI, Groq(STT), RAG, Nginx",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN25-FINAL-1Team
594,SK네트웍스 Family AI 캠프,25,최종프로젝트,멀티 에이전트 기반 K-CULTURE 큐레이션 서비스,"온보딩에서 수집한 사용자의 음악 취향 데이터를 기반으로, 수도권의 관광지·맛집·전시/팝업을 큐레이션하는 멀티 에이전트 웹 서비스","카카오 API, Google API, Naver 검색 API, 한국관광공사 API, 캐글 미슐랭 리스트, 데이포유, 멜론, 야놀자","Python, Langchain, openai, Langgraph, fastapi, next.js, react, aws, docker, airflow",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN25-FINAL-2Team
595,SK네트웍스 Family AI 캠프,25,최종프로젝트,AI 멀티에이전트 특허 작성 플랫폼 (꽃보다특허),발명 아이디어를 청구항·선행기술조사·도면·명세서 초안으로 연결하는 Multi-Agent 특허 작성 지원 플랫폼. 심사관·선행기술 등 에이전트가 협업.,"KIPRIS API 특허 데이터(선행기술조사), 논문 추출 기술 정보","React, Django, FastAPI, LangGraph 멀티에이전트, OpenAI, RunPod vLLM, KIPRIS API, Docker",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN25-FINAL-3Team
596,SK네트웍스 Family AI 캠프,25,최종프로젝트,에너지 운영 지원 시스템 (CMS),건물·설비 계량 데이터를 수집해 상태 정보·품질 검증·운영 리포트·AI 예측·경고 지표로 변환하는 에너지 운영 지원 시스템. Kafka 실시간 스트리밍 기반.,건물·설비 계량(계측) 이벤트 데이터 — 외부 공개데이터 여부 검토 필요(설비 계량 데이터),"Python, Kafka, PostgreSQL, React+Vite, AI 예측 모델, Data Contract 아키텍처",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN25-FINAL-4Team
597,SK네트웍스 Family AI 캠프,25,최종프로젝트,게임 CS 운영 자동화 플랫폼 (GameOps Support),게임사 CS 업무 전주기(결제·버그·FAQ·VOC 접수→AI 답변→검수→주간 리포트)를 자동화하는 AI 기반 통합 운영 플랫폼.,"고객 문의 데이터(QNA API·네이버 카페 게시글 수집), 게임 운영 정책·FAQ·공지 문서(URL 수집)","FastAPI, LangGraph, PostgreSQL+pgvector, Airflow, Redis, Docker, RAG, Python 3.12",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN25-FINAL-6Team
598,SK네트웍스 Family AI 캠프,25,최종프로젝트,문서 검색·인덱싱 AI 처리 서버 (FoldMind-AI-Core) — 개인 저장소,"FoldMind 앱의 AI 처리 서버로, 앱 서버로부터 문서 스냅샷을 받아 검색 페이로드·문서 인덱스·임베딩을 생성하는 코어. 개인 이니셜(KYJ) 저장소로 팀 수집 대상 여부 검토 필요.",해당 없음(앱 서버의 문서 스냅샷 등 내부 데이터 처리),"FastAPI, PostgreSQL, Neo4j, Kafka, Debezium, OpenAI 임베딩",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN25-FINAL-KYJ
599,SK네트웍스 Family AI 캠프,26,교과목실습1,데이터 기반 중고차 구매 의사결정 지원 서비스,"보배드림 중고차 매물을 수집·정제하여 동일 브랜드·모델 중 연식과 주행거리가 유사한 차량을 비교하고, 기대가격 대비 실제가격 차이와 분위수를 기반으로 가격 적정도를 분석한다. 또한 예산·연식·주행거리 조건을 반영하여 가성비가 높은 중고차 매물을 추천하는 웹서비스 구축.",보배드림 중고차 매물정보(제조사·모델명·세대명·트림·연료·변속기·구동방식·배기량·연비·가격·주행거리·연식·색상·리스 여부 및 계약정보),"Python, Requests, BeautifulSoup, Pandas, NumPy, MySQL, SQLAlchemy, PyMySQL, Streamlit, Plotly, 룰 기반 유사도 분석, 선형회귀, 분위수 분석, Docker, Docker Compose",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN26-1ST-1TEAM
600,SK네트웍스 Family AI 캠프,26,교과목실습1,차량 모델별 운영·관리 비용(TCO) 계산 서비스,"차량 모델·연식·등급, 월간 주행거리와 주행 패턴을 입력하면 차량 제원·연비, 실시간 유가, 정비 기준을 결합하여 유류비·자동차세·정비비를 계산하고 월간·연간 예상 운영비를 제공하는 웹서비스 구축. 차량 가격정보도 함께 제공하여 차량 구매 및 운영 의사결정을 지원","공공데이터포털 자동차 표시연비 목록 조회 서비스(API): 모델명, 제조사, 연료 종류, 복합·도심·고속도로 연비, 1회 충전 주행거리, 예상 연료비, 효율등급, 배기량, 연식

오피넷 전국 평균 유가(API): 유종별 전국 평균 판매가격

카이즈유 자동차 검색 결과(웹 크롤링): 차량 모델명, 최저·최고 가격, 차량 이미지 URL","Python, Streamlit, Pandas, Requests, BeautifulSoup, urllib, JSON·XML 파싱, MySQL, MySQL Connector/Python, SQL, Python-dotenv, CSV, OpenAPI 연동, 웹 크롤링",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN26-1ST-2TEAM
601,SK네트웍스 Family AI 캠프,26,교과목실습1,목적지 주변 주차장·주유소 통합 조회 서비스,"사용자가 장소명이나 주소를 입력하면 해당 위치를 좌표로 변환하고, 주변 주차장과 주유소 정보를 지도와 목록으로 제공하는 웹서비스 구축. 주차장 데이터는 MySQL에 적재한 후 공간 쿼리로 검색하며, 주유소 데이터는 실시간 API로 조회한다. 거리·가격·이름순 정렬과 카카오맵 길찾기 연동 기능을 제공","공공데이터포털 주차정보 제공 API: 주차장명, 주소, 시도·시군구, 입구 위도·경도, 주차면수

한국석유공사 오피넷 주변 주유소 API: 주유소명, 브랜드, 휘발유 가격, 좌표, 검색 위치와의 거리

OpenStreetMap Nominatim 지오코딩 데이터: 검색 장소의 주소, 위도·경도","Python, Streamlit, Pandas, Requests, MySQL, MySQL Connector/Python, MySQL Spatial SQL, Folium, Streamlit-Folium, Geopy, Nominatim, PyProj, Python-dotenv, OpenAPI 연동",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN26-1ST-3TEAM
602,SK네트웍스 Family AI 캠프,26,교과목실습1,자동차 리콜 현황 조회 및 통계 대시보드,"자동차리콜센터의 공개 리콜 정보를 수집·데이터베이스화하여 국내외 구분, 제조사, 제조연도, 차명 등의 조건으로 검색할 수 있는 웹서비스 구축. 차량별 결함내용·시정방법·문의처를 제공하고, 총 리콜 건수와 대상 차량 대수, 제조사별 순위, 연도별 추이, 모델별 리콜 순위를 시각화",국토교통부·한국교통안전공단 자동차리콜센터 리콜 현황 데이터(웹 크롤링),"Python, Selenium, Requests, BeautifulSoup, Pandas, MySQL, PyMySQL, MySQL Connector/Python, Streamlit, Python-dotenv, Jupyter Notebook, SQL, ERDCloud, Git, GitHub, Figma",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN26-1ST-4TEAM
603,SK네트웍스 Family AI 캠프,26,교과목실습1,현대자동차 블루핸즈 정비소 통합 검색 서비스,"사용자의 현재 위치 또는 선택한 지역을 기준으로 현대자동차 블루핸즈 정비소를 검색하고 지도와 목록으로 제공하는 웹서비스 구축. 지역별 검색과 함께 전기차·수소차·판금·우수 협력점·N-Line 전담 등의 정비 옵션 필터링, 상세정보 조회, 페이지네이션 및 GPS 기반 위치 확인 기능을 제공",현대자동차 블루핸즈 정비소 정보(웹 크롤링):,"Python, Streamlit, MySQL, MySQL Connector/Python, Pandas, Folium, Streamlit-Folium, Streamlit-JS-Eval, HTML, CSS, 웹 크롤링, SQL",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN26-1ST-5TEAM
604,SK네트웍스 Family AI 캠프,26,교과목실습2,머신러닝 기반 신용카드 고객 이탈 예측 및 리텐션 전략 서비스,"신용카드 고객의 거래 횟수·결제 금액·한도 사용률·비활성 기간·고객센터 접촉 횟수 등의 행동 데이터를 분석하여 고객 이탈 가능성을 예측하는 시스템 구축. 여러 머신러닝 모델의 성능과 예측 확률을 비교하고, 주요 이탈 신호와 고객 세그먼트를 바탕으로 맞춤형 카드 상품 및 고객 유지 전략을 제안",Kaggle ‘Credit Card Customers’ 공개 데이터셋,"Python, Pandas, scikit-learn, Logistic Regression, HistGradientBoosting, XGBoost, LightGBM, EasyEnsemble, MLflow, FastAPI, MySQL, Streamlit, Docker Compose, Jupyter Notebook, Figma, GitHub",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN26-2nd-1TEAM
605,SK네트웍스 Family AI 캠프,26,교과목실습2,한국미디어패널 기반 통신사 고객 이탈 및 알뜰폰 전환 예측,"2020~2025년 동일 개인의 연도별 통신사 이용 변화를 연결해 전환형 패널 데이터를 구축하고, 전년 대비 통신사 변경 여부와 이동통신 3사에서 알뜰폰으로 전환할 가능성을 예측하는 프로젝트. 휴대폰 이용금액·단말 할부금·서비스 가입 여부·연령·소득 등의 영향 요인을 분석하고, 클래스 불균형을 고려해 모델 및 임계값별 성능을 비교",정보통신정책연구원(KISDI) 한국미디어패널(KMP) 2020~2025 개인조사 원시자료 및 코드북,"Python, Pandas, NumPy, Matplotlib, Seaborn, scikit-learn, XGBoost, Jupyter Notebook, Logistic Regression, Decision Tree, Random Forest, Gradient Boosting, GroupKFold, Pipeline",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN26-2nd-2TEAM
606,SK네트웍스 Family AI 캠프,26,교과목실습2,머신러닝 기반 보험 고객 이탈 예측 및 유지 전략 지원 서비스,"보험 고객의 계약·보험료·납부·청구·민원·비교견적 등의 정보를 분석하여 고객별 이탈 확률과 위험등급을 산출하는 B2B 고객관리 서비스 구축. 고위험 고객 목록, 개별 고객 이탈 예측, 모델 성능 대시보드와 보험료 인상 완화·연체 정상화·보장 축소 감소 등의 유지 정책 시뮬레이션을 제공",합성 데이터,"Python, Pandas, NumPy, scikit-learn, HistGradientBoostingClassifier, Pipeline, ColumnTransformer, One-Hot Encoding, 결측치 대체, 파생변수 생성, 임계값 최적화, Streamlit, Plotly, Matplotlib, Seaborn, Joblib, Apache Parquet, Jupyter",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN26-2nd-3TEAM
607,SK네트웍스 Family AI 캠프,26,교과목실습2,음악 구독 서비스 고객 이탈 예측 및 군집별 리텐션 전략 대시보드,"음악 스트리밍 구독 고객의 이용 행동·구독·결제·고객센터 문의 데이터와 미국 주별 소득 정보를 결합하여 고객 이탈 가능성을 예측하는 프로젝트. 여러 분류 모델을 비교·튜닝한 뒤 XGBoost를 최종 모델로 선정하고, SHAP 기반 이탈 원인 분석과 K-Means 고객 군집화를 통해 고객 유형별 리텐션 전략을 제공하는 Streamlit 대시보드 구축.","Kaggle ‘Streaming Subscription Churn Model’ 데이터셋,Kaggle ‘US Census Demographic Data’ 데이터셋,Folium 미국 주 경계 GeoJSON","Python, Pandas, NumPy, scikit-learn, Logistic Regression, SVC, Random Forest, XGBoost, LightGBM, CatBoost, HyperOpt, K-Means, PCA, SHAP, Streamlit, Plotly, Matplotlib, Seaborn, Folium, Requests, SciPy, Joblib, Jupyter Notebook",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN26-2nd-4TEAM
608,SK네트웍스 Family AI 캠프,26,교과목실습2,OTT 서비스 고객 이탈 예측 및 위험군 분석,"OTT 이용자의 서비스 불만족, 경쟁 서비스 매력, 전환 비용 및 이용 습관 등의 요인이 고객 이탈에 미치는 영향을 분석하고, 머신러닝 모델을 활용해 고객별 이탈 가능성을 예측하는 서비스 구축. Logistic Regression, Random Forest, XGBoost 모델의 성능을 비교하고, Streamlit 대시보드에서 이탈 확률·위험군·주요 영향 변수와 CSV 일괄 예측 결과를 제공",한국미디어패널 2023·2024년 설문 데이터,"ython, Pandas, NumPy, Scikit-learn, XGBoost, Logistic Regression, Random Forest, StandardScaler, StratifiedKFold, Matplotlib, Plotly, Streamlit, Joblib, JSON, Git, GitHub",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN26-2nd-5TEAM
609,SK네트웍스 Family AI 캠프,26,교과목실습3,Job Pocket — RAG 기반 AI 자기소개서 초안 생성 및 맞춤형 피드백 서비스,"취업 준비생이 입력한 학력, 경력, 기술 스택, 프로젝트 경험과 지원 직무 정보를 구조화한 뒤 자기소개서 초안을 생성하는 서비스. 합격 지원자 이력서와 채용공고 데이터를 검색하는 RAG 구조를 적용해 직무 적합도, 경험 표현 방식, 누락된 핵심 키워드 등을 분석하고 개선안을 제시한다. 생성된 결과에 대해 추가 질문과 문단 수정이 가능한 대화형 기능 및 대화 이력 관리 기능도 제공",Hugging Face 공개 데이터셋,"Python, Streamlit, FastAPI, MySQL 9, MySQL Vector, MySQL JSON, RAG, FAISS, BM25, EXAONE 3.5 7.8B, Qwen3 Embedding 0.6B, Hugging Face Datasets, OpenAI API, Groq API, RunPod, LangSmith, Pandas, Docker, Docker Compose, GitHub Actions, JIRA",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN26-3rd-1TEAM
610,SK네트웍스 Family AI 캠프,26,교과목실습3,LLM 기반 대화형 여행 일정 추천 서비스,"사용자와의 대화를 통해 여행지, 기간, 동행자, 선호 조건 등 여행 요구사항을 수집하고, 날씨와 장소 정보를 반영해 개인 맞춤형 여행 일정을 자동으로 생성하는 AI Travel Agent. 장소 데이터를 벡터 DB에 저장한 뒤 의미 유사도 검색과 규칙 기반 재정렬을 수행하며, 추천 장소의 지역·조건 적합성을 검증하고 이동 시간과 동선을 고려한 최종 일정을 제공한다. 욕설 필터링, 대화 요약, 개인정보 마스킹과 이전 대화 관리 기능도 포함","Google Places API, OpenWeather API","Python, GPT-4o-mini, GPT-4.1-mini, GPT-4.1, OpenAI API, LangGraph, LangChain, Agentic RAG, Function Calling, SelfQueryRetriever, ChromaDB, Google Places API, OpenWeather API, Streamlit, Folium, Google Maps, MySQL, LangSmith, BeautifulSoup",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN26-3rd-2TEAM
611,SK네트웍스 Family AI 캠프,26,교과목실습3,RAG 기반 신대방삼거리 맛집 추천 챗봇,"신대방삼거리 지역의 음식점을 대상으로 사용자의 자연어 질문에서 메뉴, 분위기, 가성비, 이용 상황 등의 조건을 추출하고, 조건에 적합한 식당 1곳을 추천하는 서비스. 질문 유형을 조건 기반 검색과 식당·메뉴 직접 검색으로 분류한 뒤, 식당·메뉴·리뷰 데이터를 검색하고 실제 리뷰를 근거로 추천 이유를 생성한다. 추천 결과는 식당 상세 정보와 함께 카카오 지도에 표시하며, 세션별 대화 맥락도 유지",다이닝코드 웹 크롤링 데이터,"Python, OpenAI API, GPT-4.1-mini, GPT-4o-mini, text-embedding-3-small, LangChain, LangGraph, RAG, NumPy, scikit-learn, 코사인 유사도, SQLite, SQL, Streamlit, Kakao Maps JavaScript SDK, BeautifulSoup, Selenium, Pandas, Python-dotenv",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN26-3rd-3TEAM
612,SK네트웍스 Family AI 캠프,26,교과목실습3,감정 기반 연인 갈등 완화 대화 추천 시스템,"사용자가 입력한 연인 간 갈등 상황에서 감정과 갈등 위험도를 분석하고, RAG로 유사한 대화 사례를 검색해 실제 상대방에게 보낼 수 있는 답장 문구를 생성하는 서비스. 공감형·조언형·갈등 완충형 답장 3종과 함께 피해야 할 표현 및 대체 표현을 제공하며, LLM 응답 파싱과 품질 검증을 통해 상담문이 아닌 메시지 형태로 결과를 출력","감정 라벨링 대화 데이터, 공감형 대화 데이터 가공","Python, Streamlit, Gemini API, OpenAI API, GPT, OpenAI Embedding, RAG, BM25, Dense Retrieval, RRF(Reciprocal Rank Fusion), Pinecone Vector DB, Pandas",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN26-3rd-4Team
613,SK네트웍스 Family AI 캠프,26,교과목실습3,RAG 기반 AI 맞춤형 스킨케어 성분 분석·제품 추천 서비스,"여러 출처에 분산된 화장품 성분 정보를 통합·표준화하고, 사용자의 피부 고민과 질문에 맞춰 성분 안전성, 효능, 기능 및 규제 정보를 제공하는 서비스. 질문을 성분 분석·제품 추천·일반 질의로 분류한 뒤 BM25와 Dense 검색 결과를 결합해 관련 정보를 검색하며, 출처 신뢰도와 성분 중요도를 반영한 가중치로 결과를 재정렬한다. 화장품 패키지 이미지를 업로드하면 OCR로 전성분을 추출해 분석하고, SAFE Score를 통해 성분의 안전성과 효능을 등급별로 제시","COOS 웹 데이터, Paula’s Choice 웹 데이터, 식품의약품안전처(KFDA) 성분 데이터","Python, Pandas, NumPy, LangChain, LangGraph, RAG, OpenAI API, Cohere API, Sentence Transformers, FAISS, BM25, Dense Retrieval, RRF, Contextual Compression, PaddleOCR, EasyOCR, OpenCV, FastAPI, Uvicorn, Streamlit, Plotly, Matplotlib, RapidFuzz, Pydantic",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN26-3rd-5TEAM
614,SK네트웍스 Family AI 캠프,26,교과목실습4,LG 가전 통합 검색·추천 및 사용설명서 상담 서비스,"LG전자의 TV, 냉장고, 세탁기, 에어컨, 청소기 제품을 대상으로 조건별 검색과 AI 상담을 제공하는 웹 서비스. 사용자가 가격·용량·크기·기능 등의 조건을 자연어로 입력하면 LangGraph가 제품군과 검색 의도를 분류하고, 구조화된 조건으로 변환해 상품 DB를 검색한다. 제품 사용법이나 오류 코드 질문에는 사용설명서를 검색하는 RAG를 적용해 관련 페이지를 근거로 답변하며, 찜한 제품 범위 내 검색과 이전 대화 맥락을 활용한 후속 질문도 지원","LG전자 공식몰 웹 크롤링 데이터, LG전자 제품 사용설명서 PDF","Python, Django, Django ORM, Django Templates, Tailwind CSS, DaisyUI, JavaScript, OpenAI API, GPT-4o-mini, text-embedding-3-small, LangGraph, LangChain Core, RAG, Pinecone, SQLite, Selenium, BeautifulSoup, Pandas, Jupyter Notebook, Python-dotenv",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN26-4th-1Team
615,SK네트웍스 Family AI 캠프,26,교과목실습4,OpenDART 기반 기업 재무 분석 및 AI 리포트 생성 서비스,"상장기업의 재무제표, 공시, 주요 기업 이벤트와 뉴스 데이터를 수집·분석하여 기업별 재무 현황과 위험·긍정 신호를 제공하는 금융 분석 플랫폼. 기업마다 다른 재무 계정명을 표준 계정으로 변환하고 수익성·안정성·유동성·성장성 지표를 산출하며, 공시와 뉴스 데이터를 벡터 검색해 근거가 포함된 AI 종합 리포트와 후속 질문용 챗봇 답변을 생성한다. 투자 추천보다는 기업 리서치와 취업·면접 준비를 위한 분석 보조 정보 제공을 목적","금융감독원 OpenDART API 데이터,Tavily Search API 뉴스 데이터","Python, JavaScript, Django, Django REST Framework, React, Vite, OpenAI API, LangChain, RAG, OpenAI Embeddings, text-embedding-3-small, Pinecone, MySQL, OpenDART API, Tavily Search API, Recharts, CSV, JSON",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN26-4th-2Team
616,SK네트웍스 Family AI 캠프,26,교과목실습4,OOTD 이미지와 향기 취향을 결합한 AI 개인 맞춤형 향수 추천 서비스,"사용자가 업로드한 OOTD 이미지의 색상과 분위기를 VLM으로 분석해 Floral·Woody·Amber·Fresh·Gourmand의 5축 ‘향기 아우라’ 점수를 산출하고, 사용자가 직접 선택한 선호 향료·노트 정보를 결합해 향수를 추천하는 서비스. 약 860종의 향수 데이터를 동일한 5축 벡터로 변환한 뒤 코사인 유사도를 계산해 적합한 제품을 선정하며, 추천 결과와 분석 내용을 레이더 차트 및 이미지 리포트로 제공",향수 브랜드 공식 홈페이지 및 향수 전문 사이트 웹 크롤링 데이터,"Python, TypeScript, React, Vite, Django, Django REST Framework, MySQL, NVIDIA NIM API, Gemma 3n E4B VLM, NumPy, scikit-learn, 코사인 유사도, Playwright, BeautifulSoup, OpenAI API, LangChain, Pinecone, RAG, Zustand, Axios, Tailwind CSS, html2canvas, Docker, Docker Compose",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN26-4th-3Team
617,SK네트웍스 Family AI 캠프,26,교과목실습4,RAG 기반 그룹 조건 맞춤형 오프라인 게임 추천 서비스,"보드게임·방탈출·머더미스터리 중 사용자 그룹에 적합한 콘텐츠를 추천하는 서비스. 사용자가 조건을 모두 입력하지 않아도 AI가 역질문을 통해 인원, 관계, 공포 수용도, 예산 등의 조건을 수집하고, BM25와 FAISS를 결합한 하이브리드 검색으로 후보를 찾는다. 이후 인원·시간·지역 등의 필수 조건을 필터링하고 평점·복잡도·공포도 등에 가중치를 적용해 1순위 추천, 안전 대안, 선택 시 예상되는 위험 요소를 함께 제공","BoardGameGeek(BGG) 데이터, 보드라이프 웹 데이터, 빠른방탈출 웹 데이터, 머더나우 웹 데이터, 머더미스터리로그 웹 데이터","Python, Django, OpenAI API, LangChain, LangGraph, RAG, BM25, FAISS, RRF, OpenAI Embedding, text-embedding-3-small, Hugging Face Sentence Transformers, jhgan/ko-sroberta-multitask, Supabase, PostgreSQL, Pandas, NumPy, Selenium, RapidFuzz, Pinecone, Figma",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN26-4th-4Team
618,,27,교과목실습1,"전국 전기차 보급 현황, 보조금, 충전 인프라를 시각화하고 내연기관차와 전기차의 유지비를 비교하는 대시보드 및 시뮬레이터 프로젝트","전기차 시장이 성장하는 가운데 예비 구매자들이 충전 인프라 부족, 높은 실구매가, 유지비에 대한 불안감을 가진다는 문제를 배경으로 한다. 지역별 전기차 등록 대수, 보조금 현황, 충전소 위치를 시각화하고, 연간 주행 거리와 유가·전기료를 기반으로 내연기관차와 전기차의 총 소유 비용을 비교한다. 공공 데이터를 활용해 전기차 보급 현황과 경제성 정보를 제공하는 것을 목표로 한다.","환경부, 통계청 등 공공 데이터 포털의 전기차 등록 현황, 보조금, 충전소 정보 데이터","Python, Streamlit, Pandas, Plotly, MySQL, Docker, Docker Compose, Folium, Plotly Mapbox",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN27-1ST-1TEAM
619,SK네트웍스 Family AI 캠프,27,교과목실습1,"한국교통안전공단 공공데이터를 기반으로 자동차 리콜 현황 조회, 결함 신고, 리콜 분석 대시보드와 FAQ 열람을 제공하는 Streamlit 기반 웹 시스템입니다.","공공기관의 자동차 리콜 데이터가 텍스트 위주로 산재되어 있어 사용자가 본인 차량의 리콜 정보를 빠르고 정확하게 파악하기 어렵고, 브랜드별·차종별 비교 분석과 시각화 채널이 부족하다는 문제를 해결하려는 프로젝트입니다. 사용자는 브랜드, 차종, 생산연도 기준으로 리콜 대상 여부를 조회하고 결함 신고를 진행할 수 있으며, 브랜드별 리콜 빈도와 연도별 추이 등을 대시보드로 확인하고 FAQ를 검색·열람할 수 있습니다. 프로젝트는 자동차 리콜 정보를 통합 제공하여 정보 접근성을 높이고 리콜 이력을 투명하게 확인할 수 있도록 하는 방향을 제시합니다.","한국교통안전공단 자동차 리콜 공공데이터, 한국교통안전공단 자동차 리콜 센터 FAQ 크롤링 데이터","Python, Git, Markdown, Streamlit, Pandas, Jupyter, Playwright",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN27-1ST-2TEAM
620,SK네트웍스 Family AI 캠프,27,교과목실습1,"기온, CO₂ 배출량, 자동차 등록, 충전 인프라, 보조금 데이터를 통합해 대한민국 전기차 전환 흐름과 현대 FAQ를 조회·분석하는 대시보드 프로젝트입니다.","자동차 탄소배출 문제와 전기차 전환 정책의 관계를 데이터로 분석하기 위해, 여러 기관에 분산된 기온·수송 CO₂·자동차 등록·충전 인프라·보조금 데이터를 통합합니다. Streamlit 대시보드에서 전기차 보급과 탄소배출 변화, 지역별 충전 인프라 격차, 보조금 정책 효과를 시각화하고 FAQ 검색 및 카테고리 조회 기능을 제공합니다.","공공데이터포털 연도별 전국 평균기온, 연도별 전체 자동차 등록대수, 연도별 시도별 전기차 등록대수, 연도별 수소차 등록대수, 시도별 수송 CO₂ 배출량, 지역별 전기차 충전기 구축 현황, 지자체별 전기차·수소차 보조금 데이터; 수소경제 종합 정보 포털 수소차 등록대수; 차지인포 전기차 등록대수 및 전기차 충전소 수; 기상청 기상자료개방포털 전국 평균기온; 국토교통 통계누리 자동차 등록대수; 무공해차 통합누리집 지자체별 전기차·수소차 보조금; 온실가스 종합정보센터 수송 CO₂ 배출량","Python, Streamlit, MySQL, SQL, CSV, 크롤링",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN27-1ST-3TEAM
621,SK네트웍스 Family AI 캠프,27,교과목실습1,"전국 자동차 등록 현황, 현대·기아 FAQ, 전국 공영주차장 위치 및 차종별 요금 정보를 조회할 수 있는 웹사이트 구축 프로젝트","빠른 차량 증가와 주차 공간 부족, 공영주차장별 할인 기준 및 요금의 불일치로 운전자들이 주차장 선택에 혼란을 겪는 문제를 배경으로 한다. 전국 자동차 등록 현황 조회, 현대·기아 FAQ 크롤링·DB 저장·검색, 전국 공영주차장 검색 및 상세 요금 정보 조회와 예상 주차 요금 계산 기능을 제공한다.","현대자동차 및 기아 공식 홈페이지 FAQ 크롤링 데이터, 공공데이터포털 전국주차장정보표준데이터, 공공데이터포털/국토교통부 자동차 등록 현황 데이터","Python, Streamlit, MySQL, Pandas, Selenium, SQL, Docker, Git, GitHub",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN27-1ST-4TEAM
